stage-2,stage-3,stage-4,stage-6,stage-7,stage-10,stage-11,stage-14,stage-16,stage-19,stage-21
1088,1071,1042,1004,975,951,932,907,891,858,867
77,54,34,88,61,58,64,61,26,12,62
1028,999,887,969,932,919,901,730,659,611,593
94.5,93.3,85.1,96.5,95.6,96.6,96.7,80.5,74.0,71.2,68.4
marcel-kittel,peter-sagan,arnaud-demare,marcel-kittel,marcel-kittel,marcel-kittel,marcel-kittel,michael-matthews,michael-matthews,edvald-boasson-hagen,dylan-groenewegen
arnaud-demare,michael-matthews,alexander-kristoff,arnaud-demare,edvald-boasson-hagen,john-degenkolb,dylan-groenewegen,greg-van-avermaet,edvald-boasson-hagen,nikias-arndt,andre-greipel
andre-greipel,daniel-martin1,andre-greipel,andre-greipel,michael-matthews,dylan-groenewegen,edvald-boasson-hagen,edvald-boasson-hagen,john-degenkolb,jens-keukeleire,edvald-boasson-hagen
mark-cavendish,greg-van-avermaet,nacer-bouhanni,alexander-kristoff,alexander-kristoff,rudiger-selig,michael-matthews,philippe-gilbert,greg-van-avermaet,daniele-bennati,nacer-bouhanni
dylan-groenewegen,alberto-bettiol,adrien-petit,nacer-bouhanni,john-degenkolb,alexander-kristoff,daniel-mclay,jay-mccarthy,christophe-laporte,thomas-de-gendt,alexander-kristoff
sonny-colbrelli,arnaud-demare,jurgen-roelandts,dylan-groenewegen,dylan-groenewegen,nacer-bouhanni,davide-cimolai,sonny-colbrelli,jens-keukeleire,sylvain-chavanel,borut-bozic
ben-swift,jakob-fuglsang,michael-matthews,michael-matthews,rudiger-selig,daniel-mclay,andre-greipel,christopher-froome,tony-gallopin,elie-gesbert,davide-cimolai
nacer-bouhanni,geraint-thomas,manuele-mori,daniel-mclay,nacer-bouhanni,pieter-vanspeybrouck,nacer-bouhanni,daniel-martin1,tiesj-benoot,jan-bakelants,pierre-luc-perichon
michael-matthews,christopher-froome,tiesj-benoot,rudiger-selig,andre-greipel,sonny-colbrelli,ben-swift,rigoberto-uran,maciej-bodnar,michael-albasini,rudiger-selig
peter-sagan,rafal-majka,zdenek-stybar,john-degenkolb,daniel-mclay,edvald-boasson-hagen,danilo-wyss,tiesj-benoot,romain-hardy,pierre-luc-perichon,daniele-bennati
andrea-pasqualon,nairo-quintana,edvald-boasson-hagen,dion-smith,arnaud-demare,thomas-boudat,pieter-vanspeybrouck,romain-bardet,reinardt-janse-van-rensburg,lilian-calmejane,michael-matthews
pieter-vanspeybrouck,romain-bardet,pieter-vanspeybrouck,adrien-petit,rick-zabel,andre-greipel,alexander-kristoff,zdenek-stybar,rigoberto-uran,ben-swift,sonny-colbrelli
john-degenkolb,tim-wellens,marcel-kittel,edvald-boasson-hagen,lilian-calmejane,michael-matthews,florian-vachon,simon-yates,christopher-froome,gianluca-brambilla,pieter-vanspeybrouck
daniel-mclay,richie-porte,marcel-sieberg,marco-haller,oliver-naesen,davide-cimolai,dion-smith,jan-bakelants,simon-yates,julien-simon,thomas-boudat
alexander-kristoff,tiesj-benoot,mike-teunissen,rick-zabel,andrea-pasqualon,jasha-sutterlin,damiano-caruso,paul-martens,mikel-landa,romain-hardy,jurgen-roelandts
matteo-trentin,guillaume-martin,sylvain-chavanel,taylor-phinney,jack-bauer,andrea-pasqualon,rudiger-selig,davide-cimolai,romain-bardet,rudy-molard,olivier-le-gac
dion-smith,fabio-aru,oliver-naesen,michael-schar,reinardt-janse-van-rensburg,danilo-wyss,andrea-pasqualon,nacer-bouhanni,damiano-caruso,robert-kiserlovski,ben-swift
angelo-tulik,alberto-contador,davide-cimolai,pieter-vanspeybrouck,sonny-colbrelli,reinardt-janse-van-rensburg,thomas-boudat,simon-clarke,fabio-aru,tony-gallopin,jack-bauer
edvald-boasson-hagen,rigoberto-uran,grega-bole,jay-mccarthy,grega-bole,ben-swift,sylvain-chavanel,marco-marcato,nairo-quintana,romain-sicard,taylor-phinney
